cell.instance,tumor.label
cy79-p4-CD45-neg-PDL1-pos-H11-S479-comb,Mel79
cy81-FNA-CD45-neg-H09-S1053-comb,Mel81
cy79-p5-CD45-neg-PDL1-pos-E10-S730-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-G02-S746-comb,Mel79
cy79-p5-CD45-neg-PDL1-neg-G04-S844-comb,Mel79
cy79-p4-CD45-neg-PDL1-pos-B11-S407-comb,Mel79
cy81-FNA-CD45-neg-F02-S1022-comb,Mel81
cy79-p4-CD45-neg-PDL1-pos-D05-S425-comb,Mel79
cy79-p4-CD45-neg-PDL1-pos-D01-S421-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-H09-S1149-comb,Mel79
cy81-FNA-CD45-neg-B04-S976-comb,Mel81
cy79-p4-CD45-neg-PDL1-neg-F03-S1119-comb,Mel79
cy79-p4-CD45-neg-PDL1-pos-C04-S412-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-G05-S749-comb,Mel79
cy79-p4-CD45-neg-PDL1-pos-F06-S450-comb,Mel79
cy81-FNA-CD45-neg-E12-S1020-comb,Mel81
cy79-p4-CD45-neg-PDL1-neg-A12-S1068-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-B11-S1079-comb,Mel79
cy79-p5-CD45-neg-PDL1-neg-A05-S773-comb,Mel79
cy80-CD45-neg-D03-S903-comb,Mel80
cy81-Bulk-CD45-neg-E09-S153-comb,Mel81
cy79-p5-CD45-neg-PDL1-neg-F05-S833-comb,Mel79
cy80-CD45-neg-B01-S877-comb,Mel80
cy79-p5-CD45-neg-PDL1-neg-H06-S858-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-A03-S1059-comb,Mel79
cy79-p5-CD45-neg-PDL1-neg-H10-S862-comb,Mel79
cy80-CD45-neg-C09-S897-comb,Mel80
cy79-p5-CD45-neg-PDL1-pos-E03-S723-comb,Mel79
